name,published_date,cumulative_count,delta,date_range,remarks
第61回,2021年6月9日,17,17,2021年5月22日〜2021年5月30日,
第62回,2021年6月23日,79,62,2021年5月22日～2021年6月13日,
第63回,2021年7月7日,191,112,2021年5月22日～2021年6月27日,
第64回,2021年7月21日,404,213,2021年5月22日～2021年7月11日,
第66回,2021年8月4日,903,499,2021年5月22日～2021年7月25日,
第67回,2021年8月25日,1564,661,2021年5月22日～2021年8月8日,
第68回,2021年9月10日,2075,511,2021年5月22日～2021年8月22日,
第69回,2021年10月1日,2886,811,2021年5月22日～2021年9月12日,
第71回,2021年10月22日,3373,487,2021年5月22日～2021年10月3日,
第72回,2021年11月12日,3737,364,2021年5月22日～2021年10月24日,
第73回,2021年12月3日,3919,182,2021年5月22日～2021年11月14日,
第74回,2021年12月24日,4032,113,2021年5月22日～2021年12月5日,
