name,published_date,cumulative_count,delta,date_range,remarks
第52回,2021年2月26日,3,3,2021年2月17日〜2021年2月25日,
第53回,2021年3月12日,22,19,2021年2月16日～2021年3月7日,
第54回,2021年3月26日,733,711,2021年2月17日～2021年3月21日,
第55回,2021年4月9日,1765,1032,2021年2月17日～2021年4月4日,
第56回,2021年4月23日,3298,1533,2021年2月17日～2021年4月18日,
第57回,2021年4月30日,4402,1104,2021年2月17日～2021年4月25日,
第58回,2021年5月12日,5561,1159,2021年2月17日～2021年5月2日,
第60回,2021年5月26日,7298,1737,2021年2月17日～2021年5月16日,
第61回,2021年6月9日,10659,3361,2021年2月17日～2021年5月30日,
第62回,2021年6月23日,13673,3014,2021年2月17日～2021年6月13日,
第63回,2021年7月7日,15994,2321,2021年2月17日～2021年6月27日,
第64回,2021年7月21日,17877,1883,2021年2月17日～2021年7月11日,
第66回,2021年8月4日,19202,1325,2021年2月17日～2021年7月25日,
第67回,2021年8月25日,20493,1291,2021年2月17日～2021年8月8日,
第68回,2021年9月10日,21381,888,2021年2月17日～2021年8月22日,
第69回,2021年10月1日,22714,1333,2021年2月17日～2021年9月12日,
第71回,2021年10月22日,23903,1189,2021年2月17日～2021年10月3日,
第72回,2021年11月12日,24766,863,2021年2月17日～2021年10月24日,
第73回,2021年12月3日,25522,756,2021年2月17日～2021年11月14日,
第74回,2021年12月24日,26160,638,2021年2月17日～2021年12月5日,
